,County,City,State,Geog_Area_Type,Gigabit_Fiber_Coverage,Business_Density
267285,Thomas County,Thomas,NE,Nontribal,Limited,Low
267315,Valley County,Valley,NE,Nontribal,Moderate,Low
267345,Washington County,Washington,NE,Nontribal,Moderate,Low
267375,Wayne County,Wayne,NE,Nontribal,Good,Low
267405,Webster County,Webster,NE,Nontribal,Excellent,Low
267435,Wheeler County,Wheeler,NE,Nontribal,Moderate,Low
267465,York County,York,NE,Nontribal,Good,Low
267495,Churchill County,Churchill,NV,Nontribal,Good,Low
267525,Clark County,Clark,NV,Nontribal,Limited,High
267555,Douglas County,Douglas,NV,Nontribal,Limited,Moderate
267585,Elko County,Elko,NV,Nontribal,Good,Moderate
267615,Esmeralda County,Esmeralda,NV,Nontribal,Limited,Low
267645,Eureka County,Eureka,NV,Nontribal,Limited,Low
267675,Humboldt County,Humboldt,NV,Nontribal,Limited,Low
267705,Lander County,Lander,NV,Nontribal,Limited,Low
267735,Lincoln County,Lincoln,NV,Nontribal,Limited,Low
267765,Lyon County,Lyon,NV,Nontribal,Limited,Moderate
267795,Mineral County,Mineral,NV,Nontribal,Limited,Low
267825,Nye County,Nye,NV,Nontribal,Limited,Moderate
267855,Pershing County,Pershing,NV,Nontribal,Limited,Low
267885,Storey County,Storey,NV,Nontribal,Limited,Low
267915,Washoe County,Washoe,NV,Nontribal,Moderate,High
267945,White Pine County,White Pine,NV,Nontribal,Limited,Low
267975,Carson City,Carson City,NV,Nontribal,Limited,Moderate
268005,Belknap County,Belknap,NH,Nontribal,Limited,Moderate
268035,Carroll County,Carroll,NH,Nontribal,Limited,Moderate
268065,Cheshire County,Cheshire,NH,Nontribal,Limited,Moderate
268095,Coos County,Coos,NH,Nontribal,Limited,Moderate
268125,Grafton County,Grafton,NH,Nontribal,Moderate,High
268155,Hillsborough County,Hillsborough,NH,Nontribal,Limited,High
268185,Merrimack County,Merrimack,NH,Nontribal,Good,High
268215,Rockingham County,Rockingham,NH,Nontribal,Limited,High
268245,Strafford County,Strafford,NH,Nontribal,Moderate,High
268275,Sullivan County,Sullivan,NH,Nontribal,Limited,Moderate
268305,Atlantic County,Atlantic,NJ,Nontribal,Limited,High
268335,Bergen County,Bergen,NJ,Nontribal,Limited,High
268365,Burlington County,Burlington,NJ,Nontribal,Limited,High
268395,Camden County,Camden,NJ,Nontribal,Limited,High
268425,Cape May County,Cape May,NJ,Nontribal,Limited,High
268455,Cumberland County,Cumberland,NJ,Nontribal,Limited,High
268485,Essex County,Essex,NJ,Nontribal,Moderate,High
268515,Gloucester County,Gloucester,NJ,Nontribal,Limited,High
268545,Hudson County,Hudson,NJ,Nontribal,Moderate,High
268575,Hunterdon County,Hunterdon,NJ,Nontribal,Limited,High
268605,Mercer County,Mercer,NJ,Nontribal,Limited,High
268635,Middlesex County,Middlesex,NJ,Nontribal,Limited,High
268665,Monmouth County,Monmouth,NJ,Nontribal,Limited,High
268695,Morris County,Morris,NJ,Nontribal,Limited,High
268725,Ocean County,Ocean,NJ,Nontribal,Limited,High
268755,Passaic County,Passaic,NJ,Nontribal,Moderate,High
268785,Salem County,Salem,NJ,Nontribal,Limited,Moderate
268815,Somerset County,Somerset,NJ,Nontribal,Limited,High
268845,Sussex County,Sussex,NJ,Nontribal,Good,High
268875,Union County,Union,NJ,Nontribal,Moderate,High
268905,Warren County,Warren,NJ,Nontribal,Limited,High
268935,Bernalillo County,Bernalillo,NM,Nontribal,Limited,High
268965,Catron County,Catron,NM,Nontribal,Limited,Low
268995,Chaves County,Chaves,NM,Nontribal,Moderate,Moderate
269025,Cibola County,Cibola,NM,Nontribal,Excellent,Low
269055,Colfax County,Colfax,NM,Nontribal,Limited,Low
269085,Curry County,Curry,NM,Nontribal,Excellent,Moderate
269115,De Baca County,De Baca,NM,Nontribal,Excellent,Low
269145,Doña Ana County,Doña Ana,NM,Nontribal,Limited,High
269175,Eddy County,Eddy,NM,Nontribal,Moderate,Moderate
269205,Grant County,Grant,NM,Nontribal,Limited,Moderate
269235,Guadalupe County,Guadalupe,NM,Nontribal,Excellent,Low
269265,Harding County,Harding,NM,Nontribal,Excellent,Low
269295,Hidalgo County,Hidalgo,NM,Nontribal,Limited,Low
269325,Lea County,Lea,NM,Nontribal,Excellent,Moderate
269355,Lincoln County,Lincoln,NM,Nontribal,Limited,Moderate
269385,Los Alamos County,Los Alamos,NM,Nontribal,Limited,Low
269415,Luna County,Luna,NM,Nontribal,Limited,Low
269445,McKinley County,McKinley,NM,Nontribal,Limited,Moderate
269475,Mora County,Mora,NM,Nontribal,Limited,Low
269505,Otero County,Otero,NM,Nontribal,Limited,Moderate
269535,Quay County,Quay,NM,Nontribal,Excellent,Low
269565,Rio Arriba County,Rio Arriba,NM,Nontribal,Limited,Low
269595,Roosevelt County,Roosevelt,NM,Nontribal,Limited,Low
269625,Sandoval County,Sandoval,NM,Nontribal,Limited,High
269655,San Juan County,San Juan,NM,Nontribal,Limited,Moderate
269685,San Miguel County,San Miguel,NM,Nontribal,Moderate,Moderate
269715,Santa Fe County,Santa Fe,NM,Nontribal,Limited,High
269745,Sierra County,Sierra,NM,Nontribal,Moderate,Low
269775,Socorro County,Socorro,NM,Nontribal,Moderate,Low
269805,Taos County,Taos,NM,Nontribal,Limited,Moderate
269835,Torrance County,Torrance,NM,Nontribal,Limited,Low
269865,Union County,Union,NM,Nontribal,Excellent,Low
269895,Valencia County,Valencia,NM,Nontribal,Limited,Moderate
269925,Albany County,Albany,NY,Nontribal,Limited,High
269955,Allegany County,Allegany,NY,Nontribal,Good,Moderate
269985,Bronx County,Bronx,NY,Nontribal,Good,High
270015,Broome County,Broome,NY,Nontribal,Moderate,High
270045,Cattaraugus County,Cattaraugus,NY,Nontribal,Moderate,Moderate
270075,Cayuga County,Cayuga,NY,Nontribal,Limited,Moderate
270105,Chautauqua County,Chautauqua,NY,Nontribal,Moderate,High
270135,Chemung County,Chemung,NY,Nontribal,Limited,Moderate
270165,Chenango County,Chenango,NY,Nontribal,Limited,Moderate
270195,Clinton County,Clinton,NY,Nontribal,Limited,Moderate
270225,Columbia County,Columbia,NY,Nontribal,Moderate,Moderate
270255,Cortland County,Cortland,NY,Nontribal,Limited,Moderate
270285,Delaware County,Delaware,NY,Nontribal,Good,Moderate
270315,Dutchess County,Dutchess,NY,Nontribal,Limited,High
270345,Erie County,Erie,NY,Nontribal,Limited,High
270375,Essex County,Essex,NY,Nontribal,Limited,Moderate
270405,Franklin County,Franklin,NY,Nontribal,Limited,Moderate
270435,Fulton County,Fulton,NY,Nontribal,Limited,Moderate
270465,Genesee County,Genesee,NY,Nontribal,Limited,Moderate
270495,Greene County,Greene,NY,Nontribal,Moderate,Moderate
270525,Hamilton County,Hamilton,NY,Nontribal,Limited,Low
270555,Herkimer County,Herkimer,NY,Nontribal,Limited,Moderate
270585,Jefferson County,Jefferson,NY,Nontribal,Limited,High
270615,Kings County,Kings,NY,Nontribal,Moderate,High
270645,Lewis County,Lewis,NY,Nontribal,Limited,Moderate
270675,Livingston County,Livingston,NY,Nontribal,Limited,Moderate
270705,Madison County,Madison,NY,Nontribal,Limited,Low
270735,Monroe County,Monroe,NY,Nontribal,Moderate,High
270765,Montgomery County,Montgomery,NY,Nontribal,Limited,Moderate
270795,Nassau County,Nassau,NY,Nontribal,Good,High
270825,New York County,New York,NY,Nontribal,Excellent,High
270855,Niagara County,Niagara,NY,Nontribal,Limited,High
270885,Oneida County,Oneida,NY,Nontribal,Limited,High
270915,Onondaga County,Onondaga,NY,Nontribal,Limited,High
270945,Ontario County,Ontario,NY,Nontribal,Moderate,High
270975,Orange County,Orange,NY,Nontribal,Limited,High
271005,Orleans County,Orleans,NY,Nontribal,Limited,Moderate
271035,Oswego County,Oswego,NY,Nontribal,Moderate,High
271065,Otsego County,Otsego,NY,Nontribal,Limited,Moderate
271095,Putnam County,Putnam,NY,Nontribal,Limited,Moderate
271125,Queens County,Queens,NY,Nontribal,Moderate,High
271155,Rensselaer County,Rensselaer,NY,Nontribal,Limited,High
271185,Richmond County,Richmond,NY,Nontribal,Moderate,High
271215,Rockland County,Rockland,NY,Nontribal,Moderate,High
271245,St. Lawrence County,St. Lawrence,NY,Nontribal,Limited,High
271275,Saratoga County,Saratoga,NY,Nontribal,Limited,High
271305,Schenectady County,Schenectady,NY,Nontribal,Limited,High
271335,Schoharie County,Schoharie,NY,Nontribal,Limited,Moderate
271365,Schuyler County,Schuyler,NY,Nontribal,Limited,Low
271395,Seneca County,Seneca,NY,Nontribal,Good,Moderate
271425,Steuben County,Steuben,NY,Nontribal,Limited,High
271455,Suffolk County,Suffolk,NY,Nontribal,Moderate,High
271485,Sullivan County,Sullivan,NY,Nontribal,Limited,High
271515,Tioga County,Tioga,NY,Nontribal,Limited,Moderate
271545,Tompkins County,Tompkins,NY,Nontribal,Limited,High
271575,Ulster County,Ulster,NY,Nontribal,Limited,High
271605,Warren County,Warren,NY,Nontribal,Limited,Moderate
271635,Washington County,Washington,NY,Nontribal,Limited,Moderate
271665,Wayne County,Wayne,NY,Nontribal,Limited,Moderate
271695,Westchester County,Westchester,NY,Nontribal,Moderate,High
271725,Wyoming County,Wyoming,NY,Nontribal,Limited,Moderate
271755,Yates County,Yates,NY,Nontribal,Limited,Low
271785,Alamance County,Alamance,NC,Nontribal,Moderate,High
271815,Alexander County,Alexander,NC,Nontribal,Limited,Moderate
271845,Alleghany County,Alleghany,NC,Nontribal,Excellent,Low
271875,Anson County,Anson,NC,Nontribal,Limited,Low
271905,Ashe County,Ashe,NC,Nontribal,Excellent,Moderate
271935,Avery County,Avery,NC,Nontribal,Moderate,Moderate
271965,Beaufort County,Beaufort,NC,Nontribal,Moderate,Moderate
271995,Bertie County,Bertie,NC,Nontribal,Limited,Low
272025,Bladen County,Bladen,NC,Nontribal,Moderate,Moderate
272055,Brunswick County,Brunswick,NC,Nontribal,Good,High
272085,Buncombe County,Buncombe,NC,Nontribal,Moderate,High
272115,Burke County,Burke,NC,Nontribal,Limited,Moderate
272145,Cabarrus County,Cabarrus,NC,Nontribal,Moderate,High
272175,Caldwell County,Caldwell,NC,Nontribal,Limited,Moderate
272205,Camden County,Camden,NC,Nontribal,Moderate,Low
272235,Carteret County,Carteret,NC,Nontribal,Limited,High
272265,Caswell County,Caswell,NC,Nontribal,Limited,Low
272295,Catawba County,Catawba,NC,Nontribal,Limited,High
272325,Chatham County,Chatham,NC,Nontribal,Good,Moderate
272355,Cherokee County,Cherokee,NC,Nontribal,Moderate,Moderate
272385,Chowan County,Chowan,NC,Nontribal,Limited,Low
272415,Clay County,Clay,NC,Nontribal,Good,Low
272445,Cleveland County,Cleveland,NC,Nontribal,Limited,Moderate
272475,Columbus County,Columbus,NC,Nontribal,Good,Moderate
272505,Craven County,Craven,NC,Nontribal,Moderate,High
272535,Cumberland County,Cumberland,NC,Nontribal,Limited,Low
272565,Currituck County,Currituck,NC,Nontribal,Limited,Moderate
272595,Dare County,Dare,NC,Nontribal,Limited,Moderate
272625,Davidson County,Davidson,NC,Nontribal,Limited,High
272655,Davie County,Davie,NC,Nontribal,Excellent,Moderate
272685,Duplin County,Duplin,NC,Nontribal,Limited,Moderate
272715,Durham County,Durham,NC,Nontribal,Moderate,High
272745,Edgecombe County,Edgecombe,NC,Nontribal,Moderate,Moderate
272775,Forsyth County,Forsyth,NC,Nontribal,Moderate,High
272805,Franklin County,Franklin,NC,Nontribal,Limited,Moderate
272835,Gaston County,Gaston,NC,Nontribal,Moderate,High
272865,Gates County,Gates,NC,Nontribal,Limited,Low
272895,Graham County,Graham,NC,Nontribal,Limited,Low
272925,Granville County,Granville,NC,Nontribal,Limited,Moderate
272955,Greene County,Greene,NC,Nontribal,Good,Low
272985,Guilford County,Guilford,NC,Nontribal,Moderate,High
273015,Halifax County,Halifax,NC,Nontribal,Limited,Moderate
273045,Harnett County,Harnett,NC,Nontribal,Limited,Moderate
273075,Haywood County,Haywood,NC,Nontribal,Limited,Moderate
273105,Henderson County,Henderson,NC,Nontribal,Limited,High
273135,Hertford County,Hertford,NC,Nontribal,Limited,Low
273165,Hoke County,Hoke,NC,Nontribal,Limited,Low
273195,Hyde County,Hyde,NC,Nontribal,Limited,Low
273225,Iredell County,Iredell,NC,Nontribal,Moderate,High
273255,Jackson County,Jackson,NC,Nontribal,Limited,Moderate
273285,Johnston County,Johnston,NC,Nontribal,Limited,High
273315,Jones County,Jones,NC,Nontribal,Limited,Low
273345,Lee County,Lee,NC,Nontribal,Limited,Moderate
273375,Lenoir County,Lenoir,NC,Nontribal,Moderate,Moderate
273405,Lincoln County,Lincoln,NC,Nontribal,Limited,Moderate
273435,McDowell County,McDowell,NC,Nontribal,Limited,Moderate
273465,Macon County,Macon,NC,Nontribal,Limited,Moderate
273495,Madison County,Madison,NC,Nontribal,Excellent,Low
273525,Martin County,Martin,NC,Nontribal,Limited,Moderate
273555,Mecklenburg County,Mecklenburg,NC,Nontribal,Good,High
273585,Mitchell County,Mitchell,NC,Nontribal,Excellent,Low
273615,Montgomery County,Montgomery,NC,Nontribal,Moderate,Moderate
273645,Moore County,Moore,NC,Nontribal,Limited,High
273675,Nash County,Nash,NC,Nontribal,Moderate,High
273705,New Hanover County,New Hanover,NC,Nontribal,Moderate,High
273735,Northampton County,Northampton,NC,Nontribal,Limited,Low
273765,Onslow County,Onslow,NC,Nontribal,Moderate,High
273795,Orange County,Orange,NC,Nontribal,Moderate,High
273825,Pamlico County,Pamlico,NC,Nontribal,Limited,Low
273855,Pasquotank County,Pasquotank,NC,Nontribal,Limited,Moderate
273885,Pender County,Pender,NC,Nontribal,Moderate,Moderate
273915,Perquimans County,Perquimans,NC,Nontribal,Limited,Low
273945,Person County,Person,NC,Nontribal,Limited,Moderate
273975,Pitt County,Pitt,NC,Nontribal,Moderate,High
274005,Polk County,Polk,NC,Nontribal,Limited,Low
274035,Randolph County,Randolph,NC,Nontribal,Moderate,High
274065,Richmond County,Richmond,NC,Nontribal,Limited,Moderate
274095,Rockingham County,Rockingham,NC,Nontribal,Moderate,Moderate
274125,Rowan County,Rowan,NC,Nontribal,Moderate,High
274155,Rutherford County,Rutherford,NC,Nontribal,Limited,Moderate
274185,Sampson County,Sampson,NC,Nontribal,Good,Moderate
274215,Stanly County,Stanly,NC,Nontribal,Moderate,Moderate
274245,Stokes County,Stokes,NC,Nontribal,Moderate,Moderate
274275,Surry County,Surry,NC,Nontribal,Good,Moderate
274305,Swain County,Swain,NC,Nontribal,Limited,Low
274335,Transylvania County,Transylvania,NC,Nontribal,Moderate,Moderate
274365,Tyrrell County,Tyrrell,NC,Nontribal,Limited,Low
274395,Union County,Union,NC,Nontribal,Limited,High
274425,Vance County,Vance,NC,Nontribal,Moderate,Moderate
274455,Wake County,Wake,NC,Nontribal,Good,High
274485,Warren County,Warren,NC,Nontribal,Limited,Low
274515,Washington County,Washington,NC,Nontribal,Moderate,Low
274545,Watauga County,Watauga,NC,Nontribal,Good,Moderate
274575,Wayne County,Wayne,NC,Nontribal,Moderate,High
274605,Wilkes County,Wilkes,NC,Nontribal,Good,Moderate
274635,Wilson County,Wilson,NC,Nontribal,Excellent,Moderate
274665,Yadkin County,Yadkin,NC,Nontribal,Good,Moderate
274695,Yancey County,Yancey,NC,Nontribal,Excellent,Low
274725,Adams County,Adams,ND,Nontribal,Excellent,Low
274755,Barnes County,Barnes,ND,Nontribal,Excellent,Low
274785,Benson County,Benson,ND,Nontribal,Excellent,Low
274815,Billings County,Billings,ND,Nontribal,Good,Low
274845,Bottineau County,Bottineau,ND,Nontribal,Excellent,Low
274875,Bowman County,Bowman,ND,Nontribal,Excellent,Low
274905,Burke County,Burke,ND,Nontribal,Excellent,Low
274935,Burleigh County,Burleigh,ND,Nontribal,Limited,High
274965,Cass County,Cass,ND,Nontribal,Limited,High
274995,Cavalier County,Cavalier,ND,Nontribal,Excellent,Low
275025,Dickey County,Dickey,ND,Nontribal,Excellent,Low
275055,Divide County,Divide,ND,Nontribal,Excellent,Low
275085,Dunn County,Dunn,ND,Nontribal,Excellent,Low
275115,Eddy County,Eddy,ND,Nontribal,Excellent,Low
275145,Emmons County,Emmons,ND,Nontribal,Excellent,Low
275175,Foster County,Foster,ND,Nontribal,Excellent,Low
275205,Golden Valley County,Golden Valley,ND,Nontribal,Excellent,Low
275235,Grand Forks County,Grand Forks,ND,Nontribal,Moderate,Moderate
275265,Grant County,Grant,ND,Nontribal,Excellent,Low
275295,Griggs County,Griggs,ND,Nontribal,Excellent,Low
275325,Hettinger County,Hettinger,ND,Nontribal,Excellent,Low
275355,Kidder County,Kidder,ND,Nontribal,Excellent,Low
275385,LaMoure County,LaMoure,ND,Nontribal,Excellent,Low
275415,Logan County,Logan,ND,Nontribal,Excellent,Low
275445,McHenry County,McHenry,ND,Nontribal,Excellent,Low
275475,McIntosh County,McIntosh,ND,Nontribal,Excellent,Low
275505,McKenzie County,McKenzie,ND,Nontribal,Excellent,Low
275535,McLean County,McLean,ND,Nontribal,Excellent,Low
275565,Mercer County,Mercer,ND,Nontribal,Excellent,Low
275595,Morton County,Morton,ND,Nontribal,Moderate,Moderate
275625,Mountrail County,Mountrail,ND,Nontribal,Excellent,Low
275655,Nelson County,Nelson,ND,Nontribal,Excellent,Low
275685,Oliver County,Oliver,ND,Nontribal,Excellent,Low
275715,Pembina County,Pembina,ND,Nontribal,Excellent,Low
275745,Pierce County,Pierce,ND,Nontribal,Excellent,Low
275775,Ramsey County,Ramsey,ND,Nontribal,Excellent,Low
275805,Ransom County,Ransom,ND,Nontribal,Excellent,Low
275835,Renville County,Renville,ND,Nontribal,Excellent,Low
275865,Richland County,Richland,ND,Nontribal,Excellent,Low
275895,Rolette County,Rolette,ND,Nontribal,Excellent,Low
275925,Sargent County,Sargent,ND,Nontribal,Excellent,Low
275955,Sheridan County,Sheridan,ND,Nontribal,Excellent,Low
275985,Slope County,Slope,ND,Nontribal,Excellent,Low
276015,Stark County,Stark,ND,Nontribal,Good,Moderate
276045,Steele County,Steele,ND,Nontribal,Excellent,Low
276075,Stutsman County,Stutsman,ND,Nontribal,Excellent,Low
276105,Towner County,Towner,ND,Nontribal,Excellent,Low
276135,Traill County,Traill,ND,Nontribal,Good,Low
276165,Walsh County,Walsh,ND,Nontribal,Good,Low
276195,Ward County,Ward,ND,Nontribal,Excellent,Moderate
276225,Wells County,Wells,ND,Nontribal,Excellent,Low
276255,Williams County,Williams,ND,Nontribal,Good,Moderate
276285,Adams County,Adams,OH,Nontribal,Limited,Moderate
276315,Allen County,Allen,OH,Nontribal,Limited,High
276345,Ashland County,Ashland,OH,Nontribal,Limited,Moderate
276375,Ashtabula County,Ashtabula,OH,Nontribal,Good,High
276405,Athens County,Athens,OH,Nontribal,Limited,Moderate
276435,Auglaize County,Auglaize,OH,Nontribal,Moderate,Moderate
276465,Belmont County,Belmont,OH,Nontribal,Limited,Moderate
276495,Brown County,Brown,OH,Nontribal,Limited,Moderate
276525,Butler County,Butler,OH,Nontribal,Good,High
276555,Carroll County,Carroll,OH,Nontribal,Limited,Moderate
276585,Champaign County,Champaign,OH,Nontribal,Limited,Moderate
276615,Clark County,Clark,OH,Nontribal,Limited,High
276645,Clermont County,Clermont,OH,Nontribal,Good,High
276675,Clinton County,Clinton,OH,Nontribal,Limited,Moderate
276705,Columbiana County,Columbiana,OH,Nontribal,Limited,High
276735,Coshocton County,Coshocton,OH,Nontribal,Limited,Moderate
276765,Crawford County,Crawford,OH,Nontribal,Limited,Moderate
276795,Cuyahoga County,Cuyahoga,OH,Nontribal,Moderate,High
276825,Darke County,Darke,OH,Nontribal,Limited,Moderate
276855,Defiance County,Defiance,OH,Nontribal,Moderate,Moderate
276885,Delaware County,Delaware,OH,Nontribal,Limited,High
276915,Erie County,Erie,OH,Nontribal,Excellent,Moderate
276945,Fairfield County,Fairfield,OH,Nontribal,Limited,High
276975,Fayette County,Fayette,OH,Nontribal,Moderate,Low
277005,Franklin County,Franklin,OH,Nontribal,Moderate,High
277035,Fulton County,Fulton,OH,Nontribal,Moderate,Moderate
277065,Gallia County,Gallia,OH,Nontribal,Limited,Moderate
277095,Geauga County,Geauga,OH,Nontribal,Moderate,Moderate
277125,Greene County,Greene,OH,Nontribal,Moderate,High
277155,Guernsey County,Guernsey,OH,Nontribal,Limited,Moderate
277185,Hamilton County,Hamilton,OH,Nontribal,Excellent,High
277215,Hancock County,Hancock,OH,Nontribal,Moderate,Moderate
277245,Hardin County,Hardin,OH,Nontribal,Moderate,Low
277275,Harrison County,Harrison,OH,Nontribal,Limited,Low
277305,Henry County,Henry,OH,Nontribal,Moderate,Low
277335,Highland County,Highland,OH,Nontribal,Limited,Moderate
277365,Hocking County,Hocking,OH,Nontribal,Limited,Moderate
277395,Holmes County,Holmes,OH,Nontribal,Limited,Moderate
277425,Huron County,Huron,OH,Nontribal,Limited,Moderate
277455,Jackson County,Jackson,OH,Nontribal,Limited,Moderate
277485,Jefferson County,Jefferson,OH,Nontribal,Limited,Moderate
277515,Knox County,Knox,OH,Nontribal,Limited,Moderate
277545,Lake County,Lake,OH,Nontribal,Moderate,High
277575,Lawrence County,Lawrence,OH,Nontribal,Limited,Moderate
277605,Licking County,Licking,OH,Nontribal,Moderate,High
277635,Logan County,Logan,OH,Nontribal,Limited,Moderate
277665,Lorain County,Lorain,OH,Nontribal,Moderate,High
277695,Lucas County,Lucas,OH,Nontribal,Moderate,High
277725,Madison County,Madison,OH,Nontribal,Limited,Moderate
277755,Mahoning County,Mahoning,OH,Nontribal,Limited,High
277785,Marion County,Marion,OH,Nontribal,Limited,Moderate
277815,Medina County,Medina,OH,Nontribal,Moderate,High
277845,Meigs County,Meigs,OH,Nontribal,Limited,Low
277875,Mercer County,Mercer,OH,Nontribal,Excellent,Moderate
277905,Miami County,Miami,OH,Nontribal,Good,High
277935,Monroe County,Monroe,OH,Nontribal,Limited,Low
277965,Montgomery County,Montgomery,OH,Nontribal,Moderate,High
277995,Morgan County,Morgan,OH,Nontribal,Limited,Low
278025,Morrow County,Morrow,OH,Nontribal,Moderate,Moderate
278055,Muskingum County,Muskingum,OH,Nontribal,Limited,Moderate
278085,Noble County,Noble,OH,Nontribal,Limited,Low
278115,Ottawa County,Ottawa,OH,Nontribal,Limited,Moderate
278145,Paulding County,Paulding,OH,Nontribal,Moderate,Low
278175,Perry County,Perry,OH,Nontribal,Limited,Moderate
278205,Pickaway County,Pickaway,OH,Nontribal,Moderate,Moderate
278235,Pike County,Pike,OH,Nontribal,Limited,Low
278265,Portage County,Portage,OH,Nontribal,Limited,High
278295,Preble County,Preble,OH,Nontribal,Limited,Moderate
278325,Putnam County,Putnam,OH,Nontribal,Limited,Moderate
278355,Richland County,Richland,OH,Nontribal,Moderate,High
278385,Ross County,Ross,OH,Nontribal,Good,Moderate
278415,Sandusky County,Sandusky,OH,Nontribal,Limited,Moderate
278445,Scioto County,Scioto,OH,Nontribal,Limited,Moderate
278475,Seneca County,Seneca,OH,Nontribal,Limited,Moderate
278505,Shelby County,Shelby,OH,Nontribal,Good,Moderate
278535,Stark County,Stark,OH,Nontribal,Moderate,High
278565,Summit County,Summit,OH,Nontribal,Moderate,High
278595,Trumbull County,Trumbull,OH,Nontribal,Moderate,High
278625,Tuscarawas County,Tuscarawas,OH,Nontribal,Limited,Moderate
278655,Union County,Union,OH,Nontribal,Limited,Moderate
278685,Van Wert County,Van Wert,OH,Nontribal,Moderate,Low
278715,Vinton County,Vinton,OH,Nontribal,Limited,Low
278745,Warren County,Warren,OH,Nontribal,Good,High
278775,Washington County,Washington,OH,Nontribal,Limited,Moderate
278805,Wayne County,Wayne,OH,Nontribal,Moderate,High
278835,Williams County,Williams,OH,Nontribal,Limited,Moderate
278865,Wood County,Wood,OH,Nontribal,Moderate,High
278895,Wyandot County,Wyandot,OH,Nontribal,Limited,Low
278925,Alfalfa County,Alfalfa,OK,Nontribal,Moderate,Low
278955,Beaver County,Beaver,OK,Nontribal,Excellent,Low
278985,Canadian County,Canadian,OK,Nontribal,Good,Moderate
279015,Cimarron County,Cimarron,OK,Nontribal,Excellent,Low
279045,Cleveland County,Cleveland,OK,Nontribal,Good,High
279075,Ellis County,Ellis,OK,Nontribal,Limited,Low
279105,Garfield County,Garfield,OK,Nontribal,Good,Moderate
279135,Grant County,Grant,OK,Nontribal,Limited,Low
279165,Harper County,Harper,OK,Nontribal,Moderate,Low
279195,Kay County,Kay,OK,Nontribal,Excellent,Low
279225,Logan County,Logan,OK,Nontribal,Moderate,Moderate
279255,Major County,Major,OK,Nontribal,Good,Low
279285,Noble County,Noble,OK,Nontribal,Moderate,Low
279315,Oklahoma County,Oklahoma,OK,Nontribal,Good,High
279345,Payne County,Payne,OK,Nontribal,Moderate,Moderate
279375,Texas County,Texas,OK,Nontribal,Excellent,Low
279405,Woods County,Woods,OK,Nontribal,Limited,Low
279435,Woodward County,Woodward,OK,Nontribal,Excellent,Low
279465,Baker County,Baker,OR,Nontribal,Moderate,Low
279495,Benton County,Benton,OR,Nontribal,Limited,Moderate
279525,Clackamas County,Clackamas,OR,Nontribal,Moderate,High
279555,Clatsop County,Clatsop,OR,Nontribal,Limited,Moderate
279585,Columbia County,Columbia,OR,Nontribal,Limited,Moderate
279615,Coos County,Coos,OR,Nontribal,Good,Moderate
279645,Crook County,Crook,OR,Nontribal,Limited,Low
279675,Curry County,Curry,OR,Nontribal,Good,Moderate
279705,Deschutes County,Deschutes,OR,Nontribal,Limited,High
279735,Douglas County,Douglas,OR,Nontribal,Good,High
279765,Gilliam County,Gilliam,OR,Nontribal,Moderate,Low
279795,Grant County,Grant,OR,Nontribal,Good,Low
279825,Harney County,Harney,OR,Nontribal,Limited,Low
279855,Hood River County,Hood River,OR,Nontribal,Good,Low
279885,Jackson County,Jackson,OR,Nontribal,Limited,High
279915,Jefferson County,Jefferson,OR,Nontribal,Moderate,Low
279945,Josephine County,Josephine,OR,Nontribal,Limited,Moderate
279975,Klamath County,Klamath,OR,Nontribal,Moderate,Moderate
280005,Lake County,Lake,OR,Nontribal,Limited,Low
280035,Lane County,Lane,OR,Nontribal,Limited,High
280065,Lincoln County,Lincoln,OR,Nontribal,Limited,Moderate
280095,Linn County,Linn,OR,Nontribal,Moderate,High
280125,Malheur County,Malheur,OR,Nontribal,Limited,Low
280155,Marion County,Marion,OR,Nontribal,Limited,High
280185,Morrow County,Morrow,OR,Nontribal,Moderate,Low
280215,Multnomah County,Multnomah,OR,Nontribal,Limited,High
280245,Polk County,Polk,OR,Nontribal,Moderate,Moderate
280275,Sherman County,Sherman,OR,Nontribal,Moderate,Low
280305,Tillamook County,Tillamook,OR,Nontribal,Limited,Moderate
280335,Umatilla County,Umatilla,OR,Nontribal,Good,Moderate
280365,Union County,Union,OR,Nontribal,Good,Low
280395,Wallowa County,Wallowa,OR,Nontribal,Moderate,Low
280425,Wasco County,Wasco,OR,Nontribal,Moderate,Low
280455,Washington County,Washington,OR,Nontribal,Good,High
280485,Wheeler County,Wheeler,OR,Nontribal,Moderate,Low
280515,Yamhill County,Yamhill,OR,Nontribal,Good,Moderate
280545,Adams County,Adams,PA,Nontribal,Limited,Moderate
280575,Allegheny County,Allegheny,PA,Nontribal,Limited,High
280605,Armstrong County,Armstrong,PA,Nontribal,Good,Moderate
280635,Beaver County,Beaver,PA,Nontribal,Moderate,High
280665,Bedford County,Bedford,PA,Nontribal,Limited,Moderate
280695,Berks County,Berks,PA,Nontribal,Limited,High
280725,Blair County,Blair,PA,Nontribal,Limited,High
280755,Bradford County,Bradford,PA,Nontribal,Moderate,Moderate
280785,Bucks County,Bucks,PA,Nontribal,Limited,High
280815,Butler County,Butler,PA,Nontribal,Moderate,High
280845,Cambria County,Cambria,PA,Nontribal,Limited,High
280875,Cameron County,Cameron,PA,Nontribal,Good,Low
